no,chapter,speaker,content,Additional Info
11,1,Nick_narrator,"And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer.",
12,1,Nick_narrator,"There was so much to read, for one thing, and so much fine health to be pulled down out of the young breath-giving air. I bought a dozen volumes on banking and credit and investment securities, and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew. And I had the high intention of reading many other books besides. I was rather literary in college—one year I wrote a series of very solemn and obvious editorials for the Yale News—and now I was going to bring back all such things into my life and become again that most limited of all specialists, the ""well-rounded man."" This isn’t just an epigram—life is much more successfully looked at from a single window, after all.",
13,1,Nick_narrator,"It was a matter of chance that I should have rented a house in one of the strangest communities in North America. It was on that slender riotous island which extends itself due east of New York—and where there are, among other natural curiosities, two unusual formations of land. Twenty miles from the city a pair of enormous eggs, identical in contour and separated only by a courtesy bay, jut out into the most domesticated body of salt water in the Western hemisphere, the great wet barnyard of Long Island Sound. They are not perfect ovals—like the egg in the Columbus story, they are both crushed flat at the contact end—but their physical resemblance must be a source of perpetual wonder to the gulls that fly overhead. To the wingless a more interesting phenomenon is their dissimilarity in every particular except shape and size.",
14,1,Nick_narrator,"I lived at West Egg, the—well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them. My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season. The one on my right was a colossal affair by any standard—it was a factual imitation of some Hôtel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool, and more than forty acres of lawn and garden. It was Gatsby’s mansion. Or, rather, as I didn’t know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name. My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour’s lawn, and the consoling proximity of millionaires—all for eighty dollars a month.",
15,1,Nick_narrator,"Across the courtesy bay the white palaces of fashionable East Egg glittered along the water, and the history of the summer really begins on the evening I drove over there to have dinner with the Tom Buchanans. Daisy was my second cousin once removed, and I’d known Tom in college. And just after the war I spent two days with them in Chicago.",
16,1,Nick_narrator,"Her husband, among various physical accomplishments, had been one of the most powerful ends that ever played football at New Haven—a national figure in a way, one of those men who reach such an acute limited excellence at twenty-one that everything afterward savours of anticlimax. His family were enormously wealthy—even in college his freedom with money was a matter for reproach—but now he’d left Chicago and come East in a fashion that rather took your breath away: for instance, he’d brought down a string of polo ponies from Lake Forest. It was hard to realize that a man in my own generation was wealthy enough to do that.",
17,1,Nick_narrator,"Why they came East I don’t know. They had spent a year in France for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together. This was a permanent move, said Daisy over the telephone, but I didn’t believe it—I had no sight into Daisy’s heart, but I felt that Tom would drift on forever seeking, a little wistfully, for the dramatic turbulence of some irrecoverable football game.",
18,1,Nick_narrator,"And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all. Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay. The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens—finally when it reached the house drifting up the side in bright vines as though from the momentum of its run. The front was broken by a line of French windows, glowing now with reflected gold and wide open to the warm windy afternoon, and Tom Buchanan in riding clothes was standing with his legs apart on the front porch.",
19,1,Nick_narrator,"He had changed since his New Haven years. Now he was a sturdy straw-haired man of thirty, with a rather hard mouth and a supercilious manner. Two shining arrogant eyes had established dominance over his face and gave him the appearance of always leaning aggressively forward. Not even the effeminate swank of his riding clothes could hide the enormous power of that body—he seemed to fill those glistening boots until he strained the top lacing, and you could see a great pack of muscle shifting when his shoulder moved under his thin coat. It was a body capable of enormous leverage—a cruel body.",
20,1,Nick_narrator,"His speaking voice, a gruff husky tenor, added to the impression of fractiousness he conveyed. There was a touch of paternal contempt in it, even toward people he liked—and there were men at New Haven who had hated his guts.",
21,1,Nick_narrator,"he seemed to say,  We were in the same senior society, and while we were never intimate I always had the impression that he approved of me and wanted me to like him with some harsh, defiant wistfulness of his own.",
22,1,Nick_narrator,We talked for a few minutes on the sunny porch.,
23,1,Nick_narrator,"he said, his eyes flashing about restlessly.",
24,1,Nick_narrator,"Turning me around by one arm, he moved a broad flat hand along the front vista, including in its sweep a sunken Italian garden, a half acre of deep, pungent roses, and a snub-nosed motorboat that bumped the tide offshore.",
25,1,Nick_narrator,"He turned me around again, politely and abruptly.",
26,1,Nick_narrator,"We walked through a high hallway into a bright rosy-coloured space, fragilely bound into the house by French windows at either end. The windows were ajar and gleaming white against the fresh grass outside that seemed to grow a little way into the house. A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted wedding-cake of the ceiling, and then rippled over the wine-coloured rug, making a shadow on it as wind does on the sea.",
27,1,Nick_narrator,"The only completely stationary object in the room was an enormous couch on which two young women were buoyed up as though upon an anchored balloon. They were both in white, and their dresses were rippling and fluttering as if they had just been blown back in after a short flight around the house. I must have stood for a few moments listening to the whip and snap of the curtains and the groan of a picture on the wall. Then there was a boom as Tom Buchanan shut the rear windows and the caught wind died out about the room, and the curtains and the rugs and the two young women ballooned slowly to the floor.",
28,1,Nick_narrator,"The younger of the two was a stranger to me. She was extended full length at her end of the divan, completely motionless, and with her chin raised a little, as if she were balancing something on it which was quite likely to fall. If she saw me out of the corner of her eyes she gave no hint of it—indeed, I was almost surprised into murmuring an apology for having disturbed her by coming in.",
29,1,Nick_narrator,"The other girl, Daisy, made an attempt to rise—she leaned slightly forward with a conscientious expression—then she laughed, an absurd, charming little laugh, and I laughed too and came forward into the room.",
30,1,Nick_narrator,"She laughed again, as if she said something very witty, and held my hand for a moment, looking up into my face, promising that there was no one in the world she so much wanted to see. That was a way she had. She hinted in a murmur that the surname of the balancing girl was Baker. (I’ve heard it said that Daisy’s murmur was only to make people lean toward her; an irrelevant criticism that made it no less charming.)",
31,1,Nick_narrator,"At any rate, Miss Baker’s lips fluttered, she nodded at me almost imperceptibly, and then quickly tipped her head back again—the object she was balancing had obviously tottered a little and given her something of a fright. Again a sort of apology arose to my lips. Almost any exhibition of complete self-sufficiency draws a stunned tribute from me.",
32,1,Nick_narrator,"I looked back at my cousin, who began to ask me questions in her low, thrilling voice. It was the kind of voice that the ear follows up and down, as if each speech is an arrangement of notes that will never be played again. Her face was sad and lovely with bright things in it, bright eyes and a bright passionate mouth, but there was an excitement in her voice that men who had cared for her found difficult to forget: a singing compulsion, a whispered  a promise that she had done gay, exciting things just a while since and that there were gay, exciting things hovering in the next hour.",
33,1,Nick_narrator,"I told her how I had stopped off in Chicago for a day on my way East, and how a dozen people had sent their love through me.",
34,1,Nick_narrator,she cried ecstatically.,
35,1,Nick_narrator,Then she added irrelevantly:,
36,1,Nick_narrator,"Tom Buchanan, who had been hovering restlessly about the room, stopped and rested his hand on my shoulder.",
37,1,Nick_narrator,I told him.,
38,1,Nick_narrator,he remarked decisively.,
39,1,Nick_narrator,This annoyed me.,
40,1,Nick_narrator,I answered shortly.,
41,1,Nick_narrator,"he said, glancing at Daisy and then back at me, as if he were alert for something more.",
42,1,Nick_narrator,"At this point Miss Baker said:  with such suddenness that I started—it was the first word she had uttered since I came into the room. Evidently it surprised her as much as it did me, for she yawned and with a series of rapid, deft movements stood up into the room.",
43,1,Nick_narrator,"she complained,",
44,1,Nick_narrator,"Daisy retorted,",
45,1,Nick_narrator,said Miss Baker to the four cocktails just in from the pantry.,
46,1,Nick_narrator,Her host looked at her incredulously.,
47,1,Nick_narrator,He took down his drink as if it were a drop in the bottom of a glass.,
48,1,Nick_narrator,"I looked at Miss Baker, wondering what it was she ""got done."" I enjoyed looking at her. She was a slender, small-breasted girl, with an erect carriage, which she accentuated by throwing her body backward at the shoulders like a young cadet. Her grey sun-strained eyes looked back at me with polite reciprocal curiosity out of a wan, charming, discontented face. It occurred to me now that I had seen her, or a picture of her, somewhere before.",
49,1,Nick_narrator,she remarked contemptuously.,
50,1,Nick_narrator,demanded Daisy.,
51,1,Nick_narrator,"Before I could reply that he was my neighbour dinner was announced; wedging his tense arm imperatively under mine, Tom Buchanan compelled me from the room as though he were moving a checker to another square.",
52,1,Nick_narrator,"Slenderly, languidly, their hands set lightly on their hips, the two young women preceded us out on to a rosy-coloured porch, open toward the sunset, where four candles flickered on the table in the diminished wind.",
53,1,Nick_narrator,"objected Daisy, frowning. She snapped them out with her fingers.  She looked at us all radiantly.",
54,1,Nick_narrator,"yawned Miss Baker, sitting down at the table as if she were getting into bed.",
55,1,Nick_narrator,said Daisy.  She turned to me helplessly:,
56,1,Nick_narrator,Before I could answer her eyes fastened with an awed expression on her little finger.,
57,1,Nick_narrator,she complained;,
58,1,Nick_narrator,We all looked—the knuckle was black and blue.,
59,1,Nick_narrator,she said accusingly.,
60,1,Nick_narrator,"I hate that word ‘hulking,’  objected Tom crossly,",
61,1,Nick_narrator,insisted Daisy.,
62,1,Nick_narrator,"Sometimes she and Miss Baker talked at once, unobtrusively and with a bantering inconsequence that was never quite chatter, that was as cool as their white dresses and their impersonal eyes in the absence of all desire. They were here, and they accepted Tom and me, making only a polite pleasant effort to entertain or to be entertained. They knew that presently dinner would be over and a little later the evening too would be over and casually put away. It was sharply different from the West, where an evening was hurried from phase to phase towards its close, in a continually disappointed anticipation or else in sheer nervous dread of the moment itself.",
63,1,Nick_narrator,I confessed on my second glass of corky but rather impressive claret.,
64,1,Nick_narrator,"I meant nothing in particular by this remark, but it was taken up in an unexpected way.",
65,1,Nick_narrator,broke out Tom violently.,
66,1,Nick_narrator,"I answered, rather surprised by his tone.",
67,1,Nick_narrator,"said Daisy, with an expression of unthoughtful sadness.",
68,1,Nick_narrator,"insisted Tom, glancing at her impatiently.",
69,1,Nick_narrator,"whispered Daisy, winking ferociously toward the fervent sun.",
70,1,Nick_narrator,"began Miss Baker, but Tom interrupted her by shifting heavily in his chair.",
71,1,Nick_narrator,"After an infinitesimal hesitation he included Daisy with a slight nod, and she winked at me again.",
72,1,Nick_narrator,"There was something pathetic in his concentration, as if his complacency, more acute than of old, was not enough to him any more. When, almost immediately, the telephone rang inside and the butler left the porch Daisy seized upon the momentary interruption and leaned towards me.",
73,1,Nick_narrator,she whispered enthusiastically.,
74,1,Nick_narrator,suggested Miss Baker.,
75,1,Nick_narrator,"For a moment the last sunshine fell with romantic affection upon her glowing face; her voice compelled me forward breathlessly as I listened—then the glow faded, each light deserting her with lingering regret, like children leaving a pleasant street at dusk.",
76,1,Nick_narrator,"The butler came back and murmured something close to Tom’s ear, whereupon Tom frowned, pushed back his chair, and without a word went inside. As if his absence quickened something within her, Daisy leaned forward again, her voice glowing and singing.",
77,1,Nick_narrator,She turned to Miss Baker for confirmation:,
78,1,Nick_narrator,"This was untrue. I am not even faintly like a rose. She was only extemporizing, but a stirring warmth flowed from her, as if her heart was trying to come out to you concealed in one of those breathless, thrilling words. Then suddenly she threw her napkin on the table and excused herself and went into the house.",
79,1,Nick_narrator,"Miss Baker and I exchanged a short glance consciously devoid of meaning. I was about to speak when she sat up alertly and said  in a warning voice. A subdued impassioned murmur was audible in the room beyond, and Miss Baker leaned forward unashamed, trying to hear. The murmur trembled on the verge of coherence, sank down, mounted excitedly, and then ceased altogether.",
80,1,Nick_narrator,I began.,
81,1,Nick_narrator,I inquired innocently.,
82,1,Nick_narrator,"said Miss Baker, honestly surprised.",
83,1,Nick_narrator,she said hesitantly.,
84,1,Nick_narrator,I repeated blankly.,
85,1,Nick_narrator,Miss Baker nodded.,
86,1,Nick_narrator,"Almost before I had grasped her meaning there was the flutter of a dress and the crunch of leather boots, and Tom and Daisy were back at the table.",
87,1,Nick_narrator,cried Daisy with tense gaiety.,
88,1,Nick_narrator,"She sat down, glanced searchingly at Miss Baker and then at me, and continued:  Her voice sang:",
89,1,Nick_narrator,"he said, and then miserably to me:",
90,1,Nick_narrator,"The telephone rang inside, startlingly, and as Daisy shook her head decisively at Tom the subject of the stables, in fact all subjects, vanished into air. Among the broken fragments of the last five minutes at table I remember the candles being lit again, pointlessly, and I was conscious of wanting to look squarely at everyone, and yet to avoid all eyes. I couldn’t guess what Daisy and Tom were thinking, but I doubt if even Miss Baker, who seemed to have mastered a certain hardy scepticism, was able utterly to put this fifth guest’s shrill metallic urgency out of mind. To a certain temperament the situation might have seemed intriguing—my own instinct was to telephone immediately for the police.",
91,1,Nick_narrator,"The horses, needless to say, were not mentioned again. Tom and Miss Baker, with several feet of twilight between them, strolled back into the library, as if to a vigil beside a perfectly tangible body, while, trying to look pleasantly interested and a little deaf, I followed Daisy around a chain of connecting verandas to the porch in front. In its deep gloom we sat down side by side on a wicker settee.",
92,1,Nick_narrator,"Daisy took her face in her hands as if feeling its lovely shape, and her eyes moved gradually out into the velvet dusk. I saw that turbulent emotions possessed her, so I asked what I thought would be some sedative questions about her little girl.",
93,1,Nick_narrator,she said suddenly.,
94,1,Nick_narrator,She hesitated.,
95,1,Nick_narrator,"Evidently she had reason to be. I waited but she didn’t say any more, and after a moment I returned rather feebly to the subject of her daughter.",
96,1,Nick_narrator,She looked at me absently.,
97,1,Nick_narrator,"It’ll show you how I’ve gotten to feel about—things. Well, she was less than an hour old and Tom was God knows where. I woke up out of the ether with an utterly abandoned feeling, and asked the nurse right away if it was a boy or a girl. She told me it was a girl, and so I turned my head away and wept. ‘All right,’ I said, ‘I’m glad it’s a girl. And I hope she’ll be a fool—that’s the best thing a girl can be in this world, a beautiful little fool.’",
98,1,Nick_narrator,"she went on in a convinced way.  Her eyes flashed around her in a defiant way, rather like Tom’s, and she laughed with thrilling scorn.",
99,1,Nick_narrator,"The instant her voice broke off, ceasing to compel my attention, my belief, I felt the basic insincerity of what she had said. It made me uneasy, as though the whole evening had been a trick of some sort to exact a contributory emotion from me. I waited, and sure enough, in a moment she looked at me with an absolute smirk on her lovely face, as if she had asserted her membership in a rather distinguished secret society to which she and Tom belonged.",
100,1,Nick_narrator,"Inside, the crimson room bloomed with light. Tom and Miss Baker sat at either end of the long couch and she read aloud to him from the Saturday Evening Post—the words, murmurous and uninflected, running together in a soothing tune. The lamplight, bright on his boots and dull on the autumn-leaf yellow of her hair, glinted along the paper as she turned a page with a flutter of slender muscles in her arms.",
101,1,Nick_narrator,When we came in she held us silent for a moment with a lifted hand.,
102,1,Nick_narrator,"she said, tossing the magazine on the table,",
103,1,Nick_narrator,"Her body asserted itself with a restless movement of her knee, and she stood up.",
104,1,Nick_narrator,"she remarked, apparently finding the time on the ceiling.",
105,1,Nick_narrator,"explained Daisy,",
106,1,Nick_narrator,"I knew now why her face was familiar—its pleasing contemptuous expression had looked out at me from many rotogravure pictures of the sporting life at Asheville and Hot Springs and Palm Beach. I had heard some story of her too, a critical, unpleasant story, but what it was I had forgotten long ago.",
107,1,Nick_narrator,she said softly.,
108,1,Nick_narrator,confirmed Daisy.,
109,1,Nick_narrator,called Miss Baker from the stairs.,
110,1,Nick_narrator,said Tom after a moment.,
111,1,Nick_narrator,inquired Daisy coldly.,
112,1,Nick_narrator,Daisy and Tom looked at each other for a moment in silence.,
113,1,Nick_narrator,I asked quickly.,
114,1,Nick_narrator,demanded Tom suddenly.,
115,1,Nick_narrator,She looked at me.,
116,1,Nick_narrator,he advised me.,
117,1,Nick_narrator,"I said lightly that I had heard nothing at all, and a few minutes later I got up to go home. They came to the door with me and stood side by side in a cheerful square of light. As I started my motor Daisy peremptorily called: Wait!",
118,1,Nick_narrator,corroborated Tom kindly.,
119,1,Nick_narrator,"insisted Daisy, surprising me by opening up again in a flower-like way.",
120,1,Nick_narrator,"Of course I knew what they were referring to, but I wasn’t even vaguely engaged. The fact that gossip had published the banns was one of the reasons I had come East. You can’t stop going with an old friend on account of rumours, and on the other hand I had no intention of being rumoured into marriage.",
121,1,Nick_narrator,"Their interest rather touched me and made them less remotely rich—nevertheless, I was confused and a little disgusted as I drove away. It seemed to me that the thing for Daisy to do was to rush out of the house, child in arms—but apparently there were no such intentions in her head. As for Tom, the fact that he ""had some woman in New York"" was really less surprising than that he had been depressed by a book. Something was making him nibble at the edge of stale ideas as if his sturdy physical egotism no longer nourished his peremptory heart.",
122,1,Nick_narrator,"Already it was deep summer on roadhouse roofs and in front of wayside garages, where new red petrol-pumps sat out in pools of light, and when I reached my estate at West Egg I ran the car under its shed and sat for a while on an abandoned grass roller in the yard. The wind had blown off, leaving a loud, bright night, with wings beating in the trees and a persistent organ sound as the full bellows of the earth blew the frogs full of life. The silhouette of a moving cat wavered across the moonlight, and, turning my head to watch it, I saw that I was not alone—fifty feet away a figure had emerged from the shadow of my neighbour’s mansion and was standing with his hands in his pockets regarding the silver pepper of the stars. Something in his leisurely movements and the secure position of his feet upon the lawn suggested that it was Mr. Gatsby himself, come out to determine what share was his of our local heavens.",
123,1,Nick_narrator,"I decided to call to him. Miss Baker had mentioned him at dinner, and that would do for an introduction. But I didn’t call to him, for he gave a sudden intimation that he was content to be alone—he stretched out his arms toward the dark water in a curious way, and, far as I was from him, I could have sworn he was trembling. Involuntarily I glanced seaward—and distinguished nothing except a single green light, minute and far away, that might have been the end of a dock. When I looked once more for Gatsby he had vanished, and I was alone again in the unquiet darkness.",
124,2,Nick_narrator,"About halfway between West Egg and New York the motor road hastily joins the railroad and runs beside it for a quarter of a mile, so as to shrink away from a certain desolate area of land. This is a valley of ashes—a fantastic farm where ashes grow like wheat into ridges and hills and grotesque gardens; where ashes take the forms of houses and chimneys and rising smoke and, finally, with a transcendent effort, of ash-grey men, who move dimly and already crumbling through the powdery air. Occasionally a line of grey cars crawls along an invisible track, gives out a ghastly creak, and comes to rest, and immediately the ash-grey men swarm up with leaden spades and stir up an impenetrable cloud, which screens their obscure operations from your sight.",
125,2,Nick_narrator,"But above the grey land and the spasms of bleak dust which drift endlessly over it, you perceive, after a moment, the eyes of Doctor T. J. Eckleburg. The eyes of Doctor T. J. Eckleburg are blue and gigantic—their retinas are one yard high. They look out of no face, but, instead, from a pair of enormous yellow spectacles which pass over a nonexistent nose. Evidently some wild wag of an oculist set them there to fatten his practice in the borough of Queens, and then sank down himself into eternal blindness, or forgot them and moved away. But his eyes, dimmed a little by many paintless days, under sun and rain, brood on over the solemn dumping ground.",
126,2,Nick_narrator,"The valley of ashes is bounded on one side by a small foul river, and, when the drawbridge is up to let barges through, the passengers on waiting trains can stare at the dismal scene for as long as half an hour. There is always a halt there of at least a minute, and it was because of this that I first met Tom Buchanan’s mistress.",
127,2,Nick_narrator,"The fact that he had one was insisted upon wherever he was known. His acquaintances resented the fact that he turned up in popular cafés with her and, leaving her at a table, sauntered about, chatting with whomsoever he knew. Though I was curious to see her, I had no desire to meet her—but I did. I went up to New York with Tom on the train one afternoon, and when we stopped by the ash-heaps he jumped to his feet and, taking hold of my elbow, literally forced me from the car.",
128,2,Nick_narrator,he insisted.,
129,2,Nick_narrator,"I think he’d tanked up a good deal at luncheon, and his determination to have my company bordered on violence. The supercilious assumption was that on Sunday afternoon I had nothing better to do.",
130,2,Nick_narrator,"I followed him over a low whitewashed railroad fence, and we walked back a hundred yards along the road under Doctor Eckleburg’s persistent stare. The only building in sight was a small block of yellow brick sitting on the edge of the waste land, a sort of compact Main Street ministering to it, and contiguous to absolutely nothing. One of the three shops it contained was for rent and another was an all-night restaurant, approached by a trail of ashes; the third was a garage—Repairs. George B. Wilson. Cars bought and sold.—and I followed Tom inside.",
131,2,Nick_narrator,"The interior was unprosperous and bare; the only car visible was the dust-covered wreck of a Ford which crouched in a dim corner. It had occurred to me that this shadow of a garage must be a blind, and that sumptuous and romantic apartments were concealed overhead, when the proprietor himself appeared in the door of an office, wiping his hands on a piece of waste. He was a blond, spiritless man, anaemic, and faintly handsome. When he saw us a damp gleam of hope sprang into his light blue eyes.",
132,2,Nick_narrator,"said Tom, slapping him jovially on the shoulder.",
133,2,Nick_narrator,answered Wilson unconvincingly.,
134,2,Nick_narrator,said Tom coldly.,
135,2,Nick_narrator,explained Wilson quickly.,
136,2,Nick_narrator,"His voice faded off and Tom glanced impatiently around the garage. Then I heard footsteps on a stairs, and in a moment the thickish figure of a woman blocked out the light from the office door. She was in the middle thirties, and faintly stout, but she carried her flesh sensuously as some women can. Her face, above a spotted dress of dark blue crêpe-de-chine, contained no facet or gleam of beauty, but there was an immediately perceptible vitality about her as if the nerves of her body were continually smouldering. She smiled slowly and, walking through her husband as if he were a ghost, shook hands with Tom, looking him flush in the eye. Then she wet her lips, and without turning around spoke to her husband in a soft, coarse voice:",
137,2,Nick_narrator,"agreed Wilson hurriedly, and went toward the little office, mingling immediately with the cement colour of the walls. A white ashen dust veiled his dark suit and his pale hair as it veiled everything in the vicinity—except his wife, who moved close to Tom.",
138,2,Nick_narrator,said Tom intently.,
139,2,Nick_narrator,She nodded and moved away from him just as George Wilson emerged with two chairs from his office door.,
140,2,Nick_narrator,"We waited for her down the road and out of sight. It was a few days before the Fourth of July, and a grey, scrawny Italian child was setting torpedoes in a row along the railroad track.",
141,2,Nick_narrator,"said Tom, exchanging a frown with Doctor Eckleburg.",
142,2,Nick_narrator,"So Tom Buchanan and his girl and I went up together to New York—or not quite together, for Mrs. Wilson sat discreetly in another car. Tom deferred that much to the sensibilities of those East Eggers who might be on the train.",
143,2,Nick_narrator,"She had changed her dress to a brown figured muslin, which stretched tight over her rather wide hips as Tom helped her to the platform in New York. At the newsstand she bought a copy of Town Tattle and a moving-picture magazine, and in the station drugstore some cold cream and a small flask of perfume. Upstairs, in the solemn echoing drive she let four taxicabs drive away before she selected a new one, lavender-coloured with grey upholstery, and in this we slid out from the mass of the station into the glowing sunshine. But immediately she turned sharply from the window and, leaning forward, tapped on the front glass.",
144,2,Nick_narrator,she said earnestly.,
145,2,Nick_narrator,We backed up to a grey old man who bore an absurd resemblance to John D. Rockefeller. In a basket swung from his neck cowered a dozen very recent puppies of an indeterminate breed.,
146,2,Nick_narrator,"asked Mrs. Wilson eagerly, as he came to the taxi-window.",
147,2,Nick_narrator,"The man peered doubtfully into the basket, plunged in his hand and drew one up, wriggling, by the back of the neck.",
148,2,Nick_narrator,said Tom.,
149,2,Nick_narrator,said the man with disappointment in his voice.  He passed his hand over the brown washrag of a back.,
150,2,Nick_narrator,said Mrs. Wilson enthusiastically.,
151,2,Nick_narrator,He looked at it admiringly.,
152,2,Nick_narrator,"The Airedale—undoubtedly there was an Airedale concerned in it somewhere, though its feet were startlingly white—changed hands and settled down into Mrs. Wilson’s lap, where she fondled the weatherproof coat with rapture.",
153,2,Nick_narrator,she asked delicately.,
154,2,Nick_narrator,said Tom decisively.,
155,2,Nick_narrator,"We drove over to Fifth Avenue, warm and soft, almost pastoral, on the summer Sunday afternoon. I wouldn’t have been surprised to see a great flock of white sheep turn the corner.",
156,2,Nick_narrator,"I said,",
157,2,Nick_narrator,interposed Tom quickly.,
158,2,Nick_narrator,she urged.,
159,2,Nick_narrator,"We went on, cutting back again over the Park toward the West Hundreds. At 158th Street the cab stopped at one slice in a long white cake of apartment-houses. Throwing a regal homecoming glance around the neighbourhood, Mrs. Wilson gathered up her dog and her other purchases, and went haughtily in.",
160,2,Nick_narrator,she announced as we rose in the elevator.,
161,2,Nick_narrator,"The apartment was on the top floor—a small living-room, a small dining-room, a small bedroom, and a bath. The living-room was crowded to the doors with a set of tapestried furniture entirely too large for it, so that to move about was to stumble continually over scenes of ladies swinging in the gardens of Versailles. The only picture was an over-enlarged photograph, apparently a hen sitting on a blurred rock. Looked at from a distance, however, the hen resolved itself into a bonnet, and the countenance of a stout old lady beamed down into the room. Several old copies of Town Tattle lay on the table together with a copy of Simon Called Peter, and some of the small scandal magazines of Broadway. Mrs. Wilson was first concerned with the dog. A reluctant elevator boy went for a box full of straw and some milk, to which he added on his own initiative a tin of large, hard dog biscuits—one of which decomposed apathetically in the saucer of milk all afternoon. Meanwhile Tom brought out a bottle of whisky from a locked bureau door.",
162,2,Nick_narrator,"I have been drunk just twice in my life, and the second time was that afternoon; so everything that happened has a dim, hazy cast over it, although until after eight o’clock the apartment was full of cheerful sun. Sitting on Tom’s lap Mrs. Wilson called up several people on the telephone; then there were no cigarettes, and I went out to buy some at the drugstore on the corner. When I came back they had both disappeared, so I sat down discreetly in the living-room and read a chapter of Simon Called Peter—either it was terrible stuff or the whisky distorted things, because it didn’t make any sense to me.",
